rule,noise,seed,frac_opt,total_regret,mean_track_err
quantile,1.0,18,0.231,3092.8326347919196,1.2436336140351363
quantile,1.0,19,0.3185,2778.933701899955,1.23713693462508
quantile,1.0,20,0.2625,3033.9945754635014,1.2440665781499551
quantile,1.0,21,0.283,2861.140646180246,1.254742303773411
quantile,1.0,22,0.2235,3071.15625746645,1.2591235024331267
quantile,1.0,23,0.2695,2830.3639560967704,1.25158902368289
quantile,1.0,24,0.2695,2858.182665225272,1.2491400113754119
quantile,1.0,25,0.243,2846.1371271790595,1.2494681904204932
quantile,1.0,26,0.2205,3090.360844257957,1.2560994375961527
quantile,1.0,27,0.286,2911.4264467750927,1.2472537119503786
quantile,1.0,28,0.1935,3166.0680296682867,1.261202968087296
quantile,1.0,29,0.2265,2958.181210007352,1.2461456236167245
expectile,2.0,0,0.2635,2600.16114423843,1.2032116339474024
expectile,2.0,1,0.3115,2473.499242818233,1.2008381191652402
expectile,2.0,2,0.303,2615.7993006204524,1.2078095591817295
expectile,2.0,3,0.3585,2420.1685192156797,1.184546949772664
expectile,2.0,4,0.293,2724.5602842238995,1.2215628308244637
expectile,2.0,5,0.3185,2437.5634118755497,1.212558966874123
expectile,2.0,6,0.2905,2691.3314453095286,1.2294093765703502
expectile,2.0,7,0.3375,2394.6589446632897,1.1865944603463379
expectile,2.0,8,0.294,2452.6737528458507,1.2040214297941032
expectile,2.0,9,0.332,2333.4154084588486,1.2013367240801935
expectile,2.0,10,0.262,2638.3183666108234,1.2180176818665736
expectile,2.0,11,0.3395,2213.5121057055676,1.1978102093928955
expectile,2.0,12,0.234,2778.249728387008,1.2231638708548749
expectile,2.0,13,0.3085,2499.391039859028,1.2147465207218213
expectile,2.0,14,0.31,2509.7362295643234,1.201477764772344
expectile,2.0,15,0.263,2706.9825470201185,1.2132278959641452
expectile,2.0,16,0.277,2575.9670216030745,1.198496239870297
expectile,2.0,17,0.322,2444.0525131734685,1.2197505858145727
expectile,2.0,18,0.3805,2345.799157075985,1.1782171438464677
expectile,2.0,19,0.2995,2498.42032396038,1.2067894765881733
expectile,2.0,20,0.2655,2869.165531545986,1.2143005619817746
expectile,2.0,21,0.197,2937.1682946168485,1.252222091487804
expectile,2.0,22,0.28,2722.510524647044,1.228406286744768
expectile,2.0,23,0.3365,2517.363186816803,1.193693221839013
expectile,2.0,24,0.299,2417.8406937866253,1.213322803338264
expectile,2.0,25,0.297,2451.686794017186,1.211079687538101
expectile,2.0,26,0.3095,2569.7397914602925,1.2031122095265327
expectile,2.0,27,0.2935,2688.9877373304735,1.221903062749442
expectile,2.0,28,0.2935,2541.9363368519707,1.2093963483107877
expectile,2.0,29,0.2965,2448.0603674438094,1.2087215055118063
quantile,2.0,0,0.342,2757.598684611217,1.2487821903900356
quantile,2.0,1,0.2775,2984.856428058196,1.240780618473536
quantile,2.0,2,0.228,3372.98445970175,1.2712268385761427
quantile,2.0,3,0.2955,2995.4886799580327,1.2563600455919828
quantile,2.0,4,0.261,3246.9202302520544,1.2671115183394333
quantile,2.0,5,0.294,3169.9271035239435,1.2638916716370636
quantile,2.0,6,0.2775,3298.1409154417797,1.2665750539131044
quantile,2.0,7,0.246,3066.46333413087,1.254165828184529
quantile,2.0,8,0.2825,2993.6385289212208,1.2526536433230977
quantile,2.0,9,0.2605,3097.627974012636,1.2595433854695224
quantile,2.0,10,0.2655,3021.8492075967642,1.2487369475025638
quantile,2.0,11,0.249,2932.363525288977,1.2614691007409617
quantile,2.0,12,0.25,3196.2074655416563,1.2678028461647903
quantile,2.0,13,0.272,3137.3727852686757,1.261389847781785
quantile,2.0,14,0.272,3147.435108988425,1.2554945267829176
quantile,2.0,15,0.2565,3145.1632301510635,1.2593538371578465
quantile,2.0,16,0.2755,2984.2003964504365,1.2530397644999056
quantile,2.0,17,0.308,2918.76425564711,1.25730918414218
quantile,2.0,18,0.3285,2778.206953832585,1.245527862350352
quantile,2.0,19,0.3185,2942.9670426706734,1.2512766045723382
quantile,2.0,20,0.2365,3270.0220926773336,1.2539067258431131
quantile,2.0,21,0.286,2994.40356771563,1.2516321983045235
quantile,2.0,22,0.231,3271.0210863590064,1.265978884680559
quantile,2.0,23,0.293,2941.478934521785,1.2501543921993732
quantile,2.0,24,0.2455,3066.863007552843,1.2605707545477038
quantile,2.0,25,0.3145,2895.7031239727085,1.2587638068277374
quantile,2.0,26,0.306,2952.8371101944267,1.2488180086296405
quantile,2.0,27,0.296,3007.5124220238845,1.2584218037707668
quantile,2.0,28,0.186,3411.8999926624347,1.2694455147650991
quantile,2.0,29,0.2315,3002.1269394205046,1.250727304704054
