rule,learn_noise_sd,stat,seed,ai
expectile,1.0,variance,4,0.22206703910614523
expectile,1.0,mean,5,0.8887499999999999
expectile,1.0,variance,5,0.1115819209039549
expectile,1.0,mean,6,0.8775
expectile,1.0,variance,6,-0.06420765027322414
expectile,1.0,mean,7,0.7825
expectile,1.0,variance,7,0.07374999999999998
expectile,1.0,mean,8,0.9312499999999999
expectile,1.0,variance,8,0.07214765100671133
expectile,1.0,mean,9,0.7974999999999999
expectile,1.0,variance,9,-0.04078947368421059
expectile,1.0,mean,10,0.8675000000000002
expectile,1.0,variance,10,-0.135
expectile,1.0,mean,11,0.9375
expectile,1.0,variance,11,0.03611111111111109
expectile,1.0,mean,12,0.8237500000000002
expectile,1.0,variance,12,-0.03010471204188487
expectile,1.0,mean,13,0.7637499999999999
expectile,1.0,variance,13,0.06395348837209294
expectile,1.0,mean,14,0.8112499999999998
expectile,1.0,variance,14,-0.29143646408839785
quantile,1.0,mean,0,0.7325000000000002
quantile,1.0,variance,0,-0.037371134020618556
quantile,1.0,mean,1,0.6412499999999999
quantile,1.0,variance,1,-0.06878306878306874
quantile,1.0,mean,2,0.5369897959183673
quantile,1.0,variance,2,0.15251572327044008
quantile,1.0,mean,3,0.6701570680628274
quantile,1.0,variance,3,0.05510752688172044
quantile,1.0,mean,4,0.5865921787709496
quantile,1.0,variance,4,-0.02259887005649719
quantile,1.0,mean,5,0.709183673469388
quantile,1.0,variance,5,0.11388888888888894
quantile,1.0,mean,6,0.6949999999999998
quantile,1.0,variance,6,-0.04644808743169398
quantile,1.0,mean,7,0.5353403141361256
quantile,1.0,variance,7,0.21538461538461534
quantile,1.0,mean,8,0.81
quantile,1.0,variance,8,0.1713483146067417
quantile,1.0,mean,9,0.7074999999999998
quantile,1.0,variance,9,0.009067357512953405
quantile,1.0,mean,10,0.7175
quantile,1.0,variance,10,0.17375000000000007
quantile,1.0,mean,11,0.81
quantile,1.0,variance,11,0.20360824742268044
quantile,1.0,mean,12,0.72
quantile,1.0,variance,12,0.10732323232323253
quantile,1.0,mean,13,0.6899999999999997
quantile,1.0,variance,13,0.24550898203592816
quantile,1.0,mean,14,0.7012499999999999
quantile,1.0,variance,14,-0.1347150259067359
expectile,1.5,mean,0,0.96
expectile,1.5,variance,0,0.03947368421052641
expectile,1.5,mean,1,0.8275000000000001
expectile,1.5,variance,1,-0.13530927835051557
expectile,1.5,mean,2,0.6628787878787881
expectile,1.5,variance,2,0.14197530864197533
expectile,1.5,mean,3,0.8214285714285716
expectile,1.5,variance,3,0.05056179775280891
expectile,1.5,mean,4,0.6875000000000001
expectile,1.5,variance,4,0.23882681564245822
expectile,1.5,mean,5,0.905
expectile,1.5,variance,5,0.1067415730337081
expectile,1.5,mean,6,0.9199999999999999
expectile,1.5,variance,6,-0.09116022099447516
expectile,1.5,mean,7,0.8124999999999998
expectile,1.5,variance,7,0.08374999999999999
expectile,1.5,mean,8,0.9612499999999999
expectile,1.5,variance,8,0.07119205298013244
expectile,1.5,mean,9,0.7974999999999999
expectile,1.5,variance,9,-0.048177083333333225
expectile,1.5,mean,10,0.8675000000000002
expectile,1.5,variance,10,-0.14625
expectile,1.5,mean,11,0.9124999999999999
expectile,1.5,variance,11,0.015536723163841724
expectile,1.5,mean,12,0.8012500000000002
expectile,1.5,variance,12,-0.013089005235602047
expectile,1.5,mean,13,0.7887500000000001
expectile,1.5,variance,13,0.09852941176470587
expectile,1.5,mean,14,0.8312500000000003
expectile,1.5,variance,14,-0.28867403314917134
quantile,1.5,mean,0,0.5325
quantile,1.5,variance,0,-0.12105263157894737
quantile,1.5,mean,1,0.5837500000000002
quantile,1.5,variance,1,-0.1111111111111111
quantile,1.5,mean,2,0.3968253968253967
quantile,1.5,variance,2,0.13593749999999988
quantile,1.5,mean,3,0.523560209424084
quantile,1.5,variance,3,-0.021505376344086037
quantile,1.5,mean,4,0.49859550561797744
quantile,1.5,variance,4,-0.009562841530054685
quantile,1.5,mean,5,0.5637755102040819
quantile,1.5,variance,5,0.11063218390804593
quantile,1.5,mean,6,0.59375
quantile,1.5,variance,6,-0.0702247191011236
quantile,1.5,mean,7,0.4629120879120877
quantile,1.5,variance,7,0.08205128205128212
quantile,1.5,mean,8,0.6862499999999998
quantile,1.5,variance,8,0.03915662650602433
quantile,1.5,mean,9,0.6315789473684211
quantile,1.5,variance,9,-0.014248704663212479
quantile,1.5,mean,10,0.64375
quantile,1.5,variance,10,0.05750000000000011
quantile,1.5,mean,11,0.7575000000000001
quantile,1.5,variance,11,0.026455026455026367
quantile,1.5,mean,12,0.69
quantile,1.5,variance,12,0.05681818181818197
quantile,1.5,mean,13,0.63625
quantile,1.5,variance,13,0.1716867469879519
quantile,1.5,mean,14,0.5012755102040816
quantile,1.5,variance,14,-0.19948186528497414
expectile,2.0,mean,0,0.9312499999999999
expectile,2.0,variance,0,0.03947368421052641
expectile,2.0,mean,1,0.8275000000000001
expectile,2.0,variance,1,-0.1534391534391535
expectile,2.0,mean,2,0.6755050505050508
expectile,2.0,variance,2,0.11607142857142849
expectile,2.0,mean,3,0.8214285714285716
expectile,2.0,variance,3,-1.2474416007024232e-16
expectile,2.0,mean,4,0.6951530612244897
expectile,2.0,variance,4,0.22802197802197802
expectile,2.0,mean,5,0.9187500000000002
expectile,2.0,variance,5,0.1305555555555555
expectile,2.0,mean,6,0.9137499999999998
expectile,2.0,variance,6,-0.0824175824175824
expectile,2.0,mean,7,0.8237499999999998
expectile,2.0,variance,7,0.053749999999999964
expectile,2.0,mean,8,0.97
expectile,2.0,variance,8,0.06774193548387096
expectile,2.0,mean,9,0.8025
expectile,2.0,variance,9,-0.05729166666666659
expectile,2.0,mean,10,0.84375
expectile,2.0,variance,10,-0.17999999999999994
expectile,2.0,mean,11,0.9124999999999999
expectile,2.0,variance,11,-0.01598837209302317
expectile,2.0,mean,12,0.8175000000000001
expectile,2.0,variance,12,0.0013089005235601815
expectile,2.0,mean,13,0.7887500000000001
expectile,2.0,variance,13,0.026470588235294072
expectile,2.0,mean,14,0.8312500000000003
expectile,2.0,variance,14,-0.27348066298342544
quantile,2.0,mean,0,0.3812500000000001
quantile,2.0,variance,0,-0.11469072164948435
quantile,2.0,mean,1,0.48
quantile,2.0,variance,1,-0.12433862433862429
quantile,2.0,mean,2,0.3854748603351955
quantile,2.0,variance,2,0.1257309941520467
quantile,2.0,mean,3,0.4659685863874348
quantile,2.0,variance,3,0.037087912087912026
quantile,2.0,mean,4,0.4620786516853932
quantile,2.0,variance,4,0.034530386740331494
quantile,2.0,mean,5,0.42091836734693866
quantile,2.0,variance,5,0.08477011494252873
quantile,2.0,mean,6,0.53
quantile,2.0,variance,6,-0.15340909090909097
quantile,2.0,mean,7,0.400568181818182
quantile,2.0,variance,7,-0.0076923076923076416
quantile,2.0,mean,8,0.5799999999999998
quantile,2.0,variance,8,-0.001592356687898055
quantile,2.0,mean,9,0.4756756756756755
quantile,2.0,variance,9,-0.013227513227513176
quantile,2.0,mean,10,0.4950000000000001
quantile,2.0,variance,10,-0.05875000000000008
quantile,2.0,mean,11,0.6637499999999998
quantile,2.0,variance,11,0.005555555555555438
quantile,2.0,mean,12,0.5175000000000001
quantile,2.0,variance,12,0.029336734693877604
quantile,2.0,mean,13,0.5362500000000001
quantile,2.0,variance,13,0.10843373493975912
quantile,2.0,mean,14,0.3239795918367346
quantile,2.0,variance,14,-0.2525906735751296
expectile,2.5,mean,0,0.8875
expectile,2.5,variance,0,0.006578947368421147
expectile,2.5,mean,1,0.8275000000000001
expectile,2.5,variance,1,-0.15211640211640218
expectile,2.5,mean,2,0.6755050505050508
expectile,2.5,variance,2,0.2038690476190478
expectile,2.5,mean,3,0.7857142857142859
expectile,2.5,variance,3,-0.036516853932584366
expectile,2.5,mean,4,0.6913265306122451
expectile,2.5,variance,4,0.2319444444444447
expectile,2.5,mean,5,0.9187500000000002
expectile,2.5,variance,5,0.19305555555555565
expectile,2.5,mean,6,0.9137499999999998
expectile,2.5,variance,6,-0.1127717391304348
expectile,2.5,mean,7,0.8574999999999999
expectile,2.5,variance,7,0.07874999999999988
expectile,2.5,mean,8,0.97
expectile,2.5,variance,8,0.04588607594936724
expectile,2.5,mean,9,0.79
expectile,2.5,variance,9,-0.04036458333333339
expectile,2.5,mean,10,0.82375
expectile,2.5,variance,10,-0.1825
expectile,2.5,mean,11,0.865
expectile,2.5,variance,11,-0.007183908045976987
expectile,2.5,mean,12,0.8125
expectile,2.5,variance,12,-0.0013089005235601815
expectile,2.5,mean,13,0.77875
expectile,2.5,variance,13,0.026470588235294072
expectile,2.5,mean,14,0.8250000000000002
expectile,2.5,variance,14,-0.22651933701657465
quantile,2.5,mean,0,0.30000000000000004
quantile,2.5,variance,0,-0.045103092783505216
quantile,2.5,mean,1,0.4088541666666667
