rule,condition,seed,stat,ai
expectile,noisy_learn,10,variance,-0.14625
expectile,noisy_learn,10,kurtosis,-0.19277108433734955
expectile,noisy_learn,11,mean,0.9124999999999999
expectile,noisy_learn,11,variance,0.015536723163841724
expectile,noisy_learn,11,kurtosis,-0.027486910994764274
expectile,noisy_learn,12,mean,0.8012500000000002
expectile,noisy_learn,12,variance,-0.013089005235602047
expectile,noisy_learn,12,kurtosis,0.0511049723756905
expectile,noisy_learn,13,mean,0.7887500000000001
expectile,noisy_learn,13,variance,0.09852941176470587
expectile,noisy_learn,13,kurtosis,0.19047619047619044
expectile,noisy_learn,14,mean,0.8312500000000003
expectile,noisy_learn,14,variance,-0.28867403314917134
expectile,noisy_learn,14,kurtosis,0.27393617021276595
expectile,noisy_learn,15,mean,0.8775
expectile,noisy_learn,15,variance,0.09574468085106393
expectile,noisy_learn,15,kurtosis,-0.09803921568627458
expectile,noisy_learn,16,mean,0.73875
expectile,noisy_learn,16,variance,0.17556179775280897
expectile,noisy_learn,16,kurtosis,-0.17919075144508678
expectile,noisy_learn,17,mean,0.835
expectile,noisy_learn,17,variance,0.09615384615384609
expectile,noisy_learn,17,kurtosis,0.060439560439560634
expectile,noisy_learn,18,mean,0.5675000000000001
expectile,noisy_learn,18,variance,0.1441717791411045
expectile,noisy_learn,18,kurtosis,0.06382978723404262
expectile,noisy_learn,19,mean,0.8058375634517763
expectile,noisy_learn,19,variance,0.138719512195122
expectile,noisy_learn,19,kurtosis,-0.13815789473684198
expectile,noisy_learn,20,mean,0.8612500000000001
expectile,noisy_learn,20,variance,0.13524590163934433
expectile,noisy_learn,20,kurtosis,0.18625000000000003
expectile,noisy_learn,21,mean,0.8675000000000002
expectile,noisy_learn,21,variance,-0.07275132275132286
expectile,noisy_learn,21,kurtosis,0.045031055900620974
expectile,noisy_learn,22,mean,0.70875
expectile,noisy_learn,22,variance,-0.19966442953020144
expectile,noisy_learn,22,kurtosis,-0.09142857142857139
expectile,noisy_learn,23,mean,0.8837499999999998
expectile,noisy_learn,23,variance,-0.039835164835164714
expectile,noisy_learn,23,kurtosis,-0.07894736842105259
expectile,noisy_learn,24,mean,0.66875
expectile,noisy_learn,24,variance,-0.2585227272727273
expectile,noisy_learn,24,kurtosis,0.08549222797927461
expectile,noisy_learn,25,mean,0.7925
expectile,noisy_learn,25,variance,-0.21875000000000006
expectile,noisy_learn,25,kurtosis,0.07062146892655369
expectile,noisy_learn,26,mean,0.8800000000000001
expectile,noisy_learn,26,variance,-0.11621621621621625
expectile,noisy_learn,26,kurtosis,0.029661016949152404
expectile,noisy_learn,27,mean,0.7890624999999997
expectile,noisy_learn,27,variance,-0.08333333333333329
expectile,noisy_learn,27,kurtosis,-0.13352272727272732
expectile,noisy_learn,28,mean,0.7675000000000001
expectile,noisy_learn,28,variance,-0.0026041666666666106
expectile,noisy_learn,28,kurtosis,-0.012500000000000067
expectile,noisy_learn,29,mean,0.8912500000000003
expectile,noisy_learn,29,variance,0.20250000000000012
expectile,noisy_learn,29,kurtosis,0.02941176470588231
expectile,noisy_both,0,mean,0.5817610062893084
expectile,noisy_both,0,variance,0.15979381443298998
expectile,noisy_both,0,kurtosis,0.02694610778443109
expectile,noisy_both,1,mean,0.6494845360824741
expectile,noisy_both,1,variance,0.3055555555555556
expectile,noisy_both,1,kurtosis,-0.22777777777777788
expectile,noisy_both,2,mean,0.6751824817518248
expectile,noisy_both,2,variance,-0.10330578512396699
expectile,noisy_both,2,kurtosis,-0.012411347517730546
expectile,noisy_both,3,mean,0.3318965517241376
expectile,noisy_both,3,variance,0.005952380952381177
expectile,noisy_both,3,kurtosis,-0.07352941176470587
expectile,noisy_both,4,mean,0.19696969696969677
expectile,noisy_both,4,variance,-0.09782608695652162
expectile,noisy_both,4,kurtosis,0.03269230769230803
expectile,noisy_both,5,mean,0.7368421052631581
expectile,noisy_both,5,variance,-0.10135135135135133
expectile,noisy_both,5,kurtosis,-0.0389344262295081
expectile,noisy_both,6,mean,0.5530726256983237
expectile,noisy_both,6,variance,0.061666666666666835
expectile,noisy_both,6,kurtosis,0.19359756097560973
expectile,noisy_both,7,mean,0.5333333333333333
expectile,noisy_both,7,variance,-0.021897810218977964
expectile,noisy_both,7,kurtosis,0.022988505747126454
expectile,noisy_both,8,mean,0.6862499999999998
expectile,noisy_both,8,variance,0.10937499999999976
expectile,noisy_both,8,kurtosis,0.2715053763440859
expectile,noisy_both,9,mean,0.4363905325443785
expectile,noisy_both,9,variance,0.14017341040462414
expectile,noisy_both,9,kurtosis,-0.11021505376344058
expectile,noisy_both,10,mean,0.4736111111111112
expectile,noisy_both,10,variance,-0.16517857142857129
expectile,noisy_both,10,kurtosis,0.03749999999999995
expectile,noisy_both,11,mean,0.6361256544502617
expectile,noisy_both,11,variance,0.10447761194029861
expectile,noisy_both,11,kurtosis,-0.10430463576158937
expectile,noisy_both,12,mean,0.46875
expectile,noisy_both,12,variance,0.33333333333333315
expectile,noisy_both,12,kurtosis,0.051886792452830205
expectile,noisy_both,13,mean,0.52875
expectile,noisy_both,13,variance,0.043103448275862294
expectile,noisy_both,13,kurtosis,0.2837837837837838
expectile,noisy_both,14,mean,0.5215517241379307
expectile,noisy_both,14,variance,-0.35666666666666674
expectile,noisy_both,14,kurtosis,0.3010948905109486
expectile,noisy_both,15,mean,0.5714285714285713
expectile,noisy_both,15,variance,-0.1022727272727273
expectile,noisy_both,15,kurtosis,0.10971223021582727
expectile,noisy_both,16,mean,0.34821428571428575
expectile,noisy_both,16,variance,0.23599999999999993
expectile,noisy_both,16,kurtosis,-0.34684684684684675
expectile,noisy_both,17,mean,0.510233918128655
expectile,noisy_both,17,variance,0.17773437500000006
expectile,noisy_both,17,kurtosis,-0.15189873417721536
expectile,noisy_both,18,mean,0.4985380116959066
expectile,noisy_both,18,variance,0.0790816326530609
expectile,noisy_both,18,kurtosis,-0.25572519083969464
expectile,noisy_both,19,mean,0.5362068965517239
expectile,noisy_both,19,variance,0.3198051948051946
expectile,noisy_both,19,kurtosis,-0.1407766990291262
expectile,noisy_both,20,mean,0.4948979591836734
expectile,noisy_both,20,variance,0.03781512605042011
expectile,noisy_both,20,kurtosis,-0.09696969696969707
expectile,noisy_both,21,mean,0.5877659574468088
expectile,noisy_both,21,variance,-0.16836734693877553
expectile,noisy_both,21,kurtosis,0.05519480519480517
expectile,noisy_both,22,mean,0.47702702702702715
expectile,noisy_both,22,variance,-0.36458333333333326
expectile,noisy_both,22,kurtosis,-0.1987179487179486
expectile,noisy_both,23,mean,0.6734972677595626
expectile,noisy_both,23,variance,0.10999999999999988
expectile,noisy_both,23,kurtosis,0.05891719745222916
expectile,noisy_both,24,mean,0.37768817204301075
expectile,noisy_both,24,variance,-0.03159340659340666
expectile,noisy_both,24,kurtosis,0.01861702127659582
expectile,noisy_both,25,mean,0.3742424242424241
expectile,noisy_both,25,variance,-0.24677419354838703
expectile,noisy_both,25,kurtosis,0.015957446808510613
expectile,noisy_both,26,mean,0.5072254335260117
expectile,noisy_both,26,variance,-0.15151515151515138
