rule,stat,seed,cross,ai,cos_align
expectile,mean,0,0.70625,0.5357142857142858,0.5890004725928297
expectile,variance,0,0.565,0.2031249999999998,0.35963504647844974
expectile,kurtosis,0,0.509375,0.021551724137931088,-0.06576689487655145
expectile,mean,1,0.819375,0.6688481675392669,0.722137187731377
expectile,variance,1,0.578125,0.2200704225352112,0.07028084704583161
expectile,kurtosis,1,0.4837499999999999,-0.06989247311828001,-0.00024639127596480515
expectile,mean,2,0.6981249999999999,0.5660714285714282,0.6596003554152973
expectile,variance,2,0.47125,-0.08041958041958037,-0.29911923031339804
expectile,kurtosis,2,0.48687499999999995,-0.032407407407407544,0.15142082012664654
expectile,mean,3,0.661875,0.37212643678160906,0.6089292042410404
expectile,variance,3,0.530625,0.09351145038167942,-0.1958591534488966
expectile,kurtosis,3,0.45999999999999996,-0.14159292035398244,-0.19663999890029765
expectile,mean,4,0.566875,0.2266949152542374,0.5210099740576328
expectile,variance,4,0.500625,0.001533742331288311,-0.01816184650079246
expectile,kurtosis,4,0.46625,-0.10465116279069768,-0.07207771005048444
expectile,mean,5,0.8331250000000001,0.7013157894736844,0.8636747548873813
expectile,variance,5,0.4325,-0.18881118881118875,-0.002423561479303546
expectile,kurtosis,5,0.501875,0.006147540983606427,-0.048119186274917125
expectile,mean,6,0.694375,0.43435754189944115,0.7043030287884027
expectile,variance,6,0.5125,0.035971223021582614,0.022682145030778623
expectile,kurtosis,6,0.62875,0.3083832335329341,0.4352152134819295
expectile,mean,7,0.7106250000000001,0.5106060606060607,0.8090161455014149
expectile,variance,7,0.5131249999999999,0.03723404255319132,0.02231385981768563
expectile,kurtosis,7,0.50125,0.0053191489361701,0.20480103337094127
expectile,mean,8,0.835625,0.6712499999999999,0.7977195632711626
expectile,variance,8,0.51,0.031007751937984523,0.12112036386758464
expectile,kurtosis,8,0.51875,0.043352601156069454,0.14182129375978725
expectile,mean,9,0.686875,0.43459302325581395,0.7743905866766588
expectile,variance,9,0.5425,0.0982658959537572,0.06104572877487415
expectile,kurtosis,9,0.47375,-0.11797752808988761,-0.055813053265533125
expectile,mean,10,0.74875,0.5378378378378379,0.7610650812815462
expectile,variance,10,0.47875,-0.05151515151515149,-0.06180551140755121
expectile,kurtosis,10,0.50625,0.02336448598130834,0.2504767844831264
expectile,mean,11,0.80625,0.716374269005848,0.8424414511183742
expectile,variance,11,0.5493750000000001,0.1431159420289857,0.27535575647653937
expectile,kurtosis,11,0.48687500000000006,-0.035472972972972826,0.4468344778971816
expectile,mean,12,0.725,0.44999999999999996,0.7760546453508549
expectile,variance,12,0.6231249999999999,0.28633720930232537,0.3778855898766442
expectile,kurtosis,12,0.5025,0.006329113924050499,0.03454056922523801
expectile,mean,13,0.753125,0.52734375,0.7056823650130587
expectile,variance,13,0.52,0.0601503759398497,0.20310944807126058
expectile,kurtosis,13,0.5856250000000001,0.21955128205128221,0.17409689937215217
expectile,mean,14,0.699375,0.4663742690058479,0.599125747194991
expectile,variance,14,0.42000000000000004,-0.20645161290322572,0.06349415721812432
expectile,kurtosis,14,0.609375,0.32407407407407407,0.33118200942300524
expectile,mean,15,0.713125,0.48163841807909596,0.7884041488633035
expectile,variance,15,0.49375,-0.017241379310344765,0.012134742866698061
expectile,kurtosis,15,0.505,0.013986013986013993,-0.05483604401278362
expectile,mean,16,0.671875,0.4044117647058823,0.7776441216039051
expectile,variance,16,0.600625,0.3692660550458716,0.4009389323855227
expectile,kurtosis,16,0.428125,-0.28186274509803916,-0.34436655721327375
expectile,mean,17,0.720625,0.510115606936416,0.7737979543777623
expectile,variance,17,0.5549999999999999,0.16923076923076907,0.2356095235990587
expectile,kurtosis,17,0.504375,0.011824324324324375,-0.05681201931194546
expectile,mean,18,0.756875,0.580508474576271,0.730054007860361
expectile,variance,18,0.524375,0.07862903225806464,0.09712182548329021
expectile,kurtosis,18,0.485625,-0.03662420382165613,-0.1581162112222311
expectile,mean,19,0.6499999999999999,0.4137931034482756,0.5413894330618046
expectile,variance,19,0.6312500000000001,0.3476821192052982,0.3083186120533222
expectile,kurtosis,19,0.455625,-0.14915966386554622,-0.23494860433631223
expectile,mean,20,0.670625,0.4519867549668874,0.7666360244121179
expectile,variance,20,0.5118750000000001,0.03991596638655489,0.019040897859228304
expectile,kurtosis,20,0.39312500000000006,-0.2831125827814569,0.06843885000581536
expectile,mean,21,0.719375,0.47432432432432425,0.6753619103547512
expectile,variance,21,0.461875,-0.10304054054054063,-0.0664861046017071
expectile,kurtosis,21,0.5287499999999999,0.1292134831460672,0.07088975735024541
expectile,mean,22,0.7237500000000001,0.483783783783784,0.7353745903351049
expectile,variance,22,0.391875,-0.3696581196581196,-0.46723677296138255
expectile,kurtosis,22,0.49,-0.03636363636363639,-0.2713621134431437
expectile,mean,23,0.7350000000000001,0.5402298850574716,0.8139679973897327
expectile,variance,23,0.48375,-0.061320754716981105,-0.058166888586466466
expectile,kurtosis,23,0.554375,0.13942307692307684,-0.025533624331698132
expectile,mean,24,0.666875,0.3687845303867403,0.7191963459172995
expectile,variance,24,0.5331250000000001,0.07320441988950294,-0.055881067597653614
expectile,kurtosis,24,0.496875,-0.015432098765432042,-0.06286353144336555
expectile,mean,25,0.61125,0.2572254335260115,0.5867065376281959
expectile,variance,25,0.43375,-0.1625766871165643,-0.3094922056536083
expectile,kurtosis,25,0.474375,-0.07269503546099293,-0.0056694258763698505
expectile,mean,26,0.685,0.44047619047619047,0.7095915712839351
expectile,variance,26,0.460625,-0.13695652173913048,-0.2254509180213737
expectile,kurtosis,26,0.5549999999999999,0.13664596273291907,0.18788084034505315
expectile,mean,27,0.7525,0.5941176470588233,0.6954021880310043
expectile,variance,27,0.49312500000000004,-0.020370370370370264,-0.019732010689977875
expectile,kurtosis,27,0.46062500000000006,-0.14719626168224273,-0.16357171420679967
expectile,mean,28,0.6937500000000001,0.4211956521739131,0.5521320390172963
expectile,variance,28,0.47562499999999996,-0.05446927374301684,-0.047252831308255645
expectile,kurtosis,28,0.42874999999999996,-0.22619047619047628,-0.248690500248688
expectile,mean,29,0.879375,0.7945026178010471,0.8336185052495787
expectile,variance,29,0.526875,0.0647590361445783,-0.09955102262352006
expectile,kurtosis,29,0.535625,0.10106382978723408,0.04827074054374221
