nothing,fixed,variable
-3.349649233022697,1.5842068855316302,1.7654423474910668
-0.0066930432441337714,0.11739005437502353,-0.1106970111308898
-0.1872668044163794,0.18698781945047832,0.00027898496590119184
-0.38738492551230386,0.5869782518672213,-0.1995933263549174
-0.00019183433825389548,-0.5992340069058257,0.5994258412440792
-2.890129832734164,1.2349659092737064,1.6551639234604574
-3.276813349289753,1.1613140807873368,2.1154992685024165
-6.02809226110951,3.0344746182900417,2.9936176428194687
-5.90867307358791,3.4019567495598184,2.5067163240280914
-1.2674043354959699,-0.04670776334500627,1.314112098840976
-3.682368183718454,1.8262853236840173,1.856082860034437
-2.5126840049445223,0.8006410798214656,1.7120429251230571
-7.941506110794638,4.167768180259337,3.773737930535301
-1.4991055236357982,1.7612637783392113,-0.2621582547034127
-0.05311662172982167,0.04950214052663342,0.003614481203188231
-0.0007496306936282419,0.15799760997799722,-0.157247979284369
-0.31507217111088637,0.9576433237055548,-0.6425711525946682
-0.92645300457395,0.43989893854180384,0.4865540660321458
-4.3383397951035825,2.1111216778129123,2.22721811729067
-3.4235126262882902,2.0525418191224953,1.3709708071657958
-6.257901351498075,3.374621835600457,2.883279515897618
-4.6397523895671515,2.7735788466115534,1.8661735429555977
-4.907193555426319,2.548124942421808,2.359068613004511
-0.8053398784491712,-0.19480126088179892,1.00014113933097
-6.01566363967004,2.947501508052688,3.0681621316173513
-0.5284043177556632,-0.5105771716689405,1.0389814894246032
-6.362966483978506,2.559792414167229,3.803174069811278
-0.029148142331258682,-1.097428363596896,1.126576505928155
-0.28435922154390647,-1.1214950242505948,1.4058542457945014
-0.3335673967093734,-0.3287261069313048,0.6622935036406781
