rule,learn_noise_sd,seed,d1_delta,d2_delta
expectile,1.0,0,1.498668602784944,-0.4697319089934071
expectile,1.0,1,0.3904566421306441,0.11749502444220816
expectile,1.0,2,1.196722208360299,1.029083579836115
expectile,1.0,3,2.8161384823141713,-0.3427124275255089
expectile,1.0,4,3.331223961173036,1.3106994698724197
expectile,1.0,5,-1.3368976055074606,-2.220719922508975
expectile,1.0,6,1.3314456602718856,-1.4125599929105128
expectile,1.0,7,-0.21923054048486357,-1.5483261414396887
expectile,1.0,8,-0.6399060415055855,-1.6448515017961824
expectile,1.0,9,0.2578125018831976,-2.300545511253402
expectile,1.0,10,-0.5956789632416619,-1.6398025827125817
expectile,1.0,11,1.1018083477334493,-1.304922903930768
expectile,1.0,12,0.7827373294178255,0.9602983576514994
expectile,1.0,13,-0.16053697848165882,-1.0611731966562896
expectile,1.0,14,1.6971160489235757,-1.1592606259748433
quantile,1.0,0,-0.37605234352086825,-1.4697401494970306
quantile,1.0,1,-1.450313069691628,0.2264651840163161
quantile,1.0,2,-0.13757452372637324,0.6316997536766547
quantile,1.0,3,-0.3768248370843317,-0.21572797067257454
quantile,1.0,4,0.36360578936759147,-0.24983748039583364
quantile,1.0,5,-1.8970130653949493,-2.1826700502447327
quantile,1.0,6,-0.15495496778834728,-1.619799390374455
quantile,1.0,7,-1.7022832641632837,-1.0180252324465187
quantile,1.0,8,-3.2154628634986056,-2.6536504768680533
quantile,1.0,9,-2.530941199789316,-2.194753411849989
quantile,1.0,10,-2.1697238349652626,-2.1000115893175444
quantile,1.0,11,-0.4118704119836938,-1.2482649176720955
quantile,1.0,12,-1.611945228759902,0.08688147016516545
quantile,1.0,13,-2.0742767457024875,-1.5567167919721046
quantile,1.0,14,-1.3343025741872498,-2.2568582645217417
expectile,1.5,0,1.2541473113892074,-0.8275064489030175
expectile,1.5,1,0.05697752882787199,0.05303830011714261
expectile,1.5,2,1.346698127197529,1.135970246484412
expectile,1.5,3,2.6431641341355885,-0.3572000420284862
expectile,1.5,4,3.0794616278545934,1.4137148441943062
expectile,1.5,5,-1.6281125464816242,-2.4287087497519604
expectile,1.5,6,1.0673574763125568,-1.8885900754699474
expectile,1.5,7,-0.6059055285123982,-1.9141090200248883
expectile,1.5,8,-0.7490238329118935,-1.8996535445661937
expectile,1.5,9,0.1637286867351655,-2.2041891467392976
expectile,1.5,10,-0.7410437906507816,-1.400027368956522
expectile,1.5,11,1.1475515498075932,-1.1373082338177483
expectile,1.5,12,0.7457410154128343,1.0774065561999802
expectile,1.5,13,-0.3682972845065766,-0.9890610136807823
expectile,1.5,14,1.5747949328893611,-1.133412781275002
quantile,1.5,0,0.09125548464121991,-1.2233676176508075
quantile,1.5,1,-0.9098455497661302,0.6181782580120707
quantile,1.5,2,0.514102178597037,1.7150257683891024
quantile,1.5,3,-0.17711600895964885,0.09172608329147813
quantile,1.5,4,0.1945343488000706,-0.015806289753309777
quantile,1.5,5,-1.6468002387870575,-1.4909716519019582
quantile,1.5,6,0.2682976652290634,-1.239198615142465
quantile,1.5,7,-1.0268334958602896,-0.2573243541171806
quantile,1.5,8,-2.6037090019441163,-2.2473169559054167
quantile,1.5,9,-2.0018561153904795,-1.36020243142924
quantile,1.5,10,-1.2766757538662974,-1.25501358044162
quantile,1.5,11,0.39535308793646173,-0.5662422556278468
quantile,1.5,12,-1.4875637096261016,0.19212046082357404
quantile,1.5,13,-1.7359388912570743,-1.360900547226633
quantile,1.5,14,-0.9226576126846009,-1.9647316063688036
expectile,2.0,0,1.009748885705866,-1.0910216032278575
expectile,2.0,1,-0.2540058245181953,-0.016413695348438395
expectile,2.0,2,1.5068153485465334,1.3311595718496019
expectile,2.0,3,2.4272164065870996,-0.3508563637447182
expectile,2.0,4,2.8958923220606305,1.5201773719483942
expectile,2.0,5,-1.8854418970375262,-2.5791412593428973
expectile,2.0,6,0.8460015863848849,-2.246447624491914
expectile,2.0,7,-0.9413566380281253,-2.171174234085788
expectile,2.0,8,-0.8404330765874004,-2.052981485513053
expectile,2.0,9,0.18033247367554672,-2.053910204308048
expectile,2.0,10,-0.7787202019208177,-1.1151776450300694
expectile,2.0,11,1.2803222659292803,-0.8700204419824296
expectile,2.0,12,0.7352663145324065,1.1872919725020932
expectile,2.0,13,-0.5289829617270918,-0.9377098586198933
expectile,2.0,14,1.4567674506773827,-1.096708212196802
quantile,2.0,0,0.3130877072233762,-0.8778022549323632
quantile,2.0,1,-0.9067517222298207,0.8364118573890025
quantile,2.0,2,0.7881015823672746,2.6739940201648773
quantile,2.0,3,0.22574891780230288,0.1559192973454966
quantile,2.0,4,-0.2042013256835169,0.1282515246547975
quantile,2.0,5,-1.5131672534326022,-1.278066230979734
quantile,2.0,6,0.4176313451819542,-0.9486451851645157
quantile,2.0,7,-0.7273985153892788,0.07256298935422656
quantile,2.0,8,-2.5330405682792536,-2.0473023755003865
quantile,2.0,9,-1.5062658680581524,-0.6056801500387259
quantile,2.0,10,-1.0618342912497338,-1.025552944942536
quantile,2.0,11,0.8244220158937221,0.021828192695560134
quantile,2.0,12,-1.4408359641684196,0.40914903566002536
quantile,2.0,13,-2.001973335766637,-1.376408706776365
quantile,2.0,14,-0.9795499514573613,-2.0986661673201557
expectile,2.5,0,0.799049201889888,-1.2982556938829015
expectile,2.5,1,-0.46971752320637883,-0.10999263572908013
expectile,2.5,2,1.6745897904418907,1.5338807225664937
expectile,2.5,3,2.248720380290184,-0.33401715135764576
expectile,2.5,4,2.755386356276272,1.6046653059907499
expectile,2.5,5,-2.134901170048746,-2.7084316075270003
expectile,2.5,6,0.6493029884835941,-2.56563798130807
expectile,2.5,7,-1.2307198445622465,-2.4246323149276003
expectile,2.5,8,-0.9153925093603714,-2.2316842337204648
expectile,2.5,9,0.21724455391034425,-1.8631355597035597
expectile,2.5,10,-0.6963187809607918,-0.8618284251446084
expectile,2.5,11,1.4443562957979825,-0.5866520025555921
expectile,2.5,12,0.722826690971587,1.2338473519544113
expectile,2.5,13,-0.672531122456947,-0.9692275098207848
expectile,2.5,14,1.355155382607558,-1.1003004616959604
