rule,noise,seed,frac_opt,total_regret,frac_opt_last_half
quantile,1.0,11,0.5015,1979.1482708681483,0.426
quantile,1.0,12,0.3605,2495.7411483117585,0.273
quantile,1.0,13,0.4425,2222.656852336185,0.458
quantile,1.0,14,0.462,2118.416301206851,0.395
quantile,1.0,15,0.5085,1865.9600149485414,0.415
quantile,1.0,16,0.453,2262.979427505961,0.464
quantile,1.0,17,0.4425,2146.5224353098565,0.393
quantile,1.0,18,0.5165,1987.7382781462538,0.495
quantile,1.0,19,0.4205,2333.9527522383005,0.41
quantile,1.0,20,0.472,2190.3252125949844,0.453
quantile,1.0,21,0.4775,2135.6727969844915,0.445
quantile,1.0,22,0.4645,2091.1573710881094,0.475
quantile,1.0,23,0.3925,2348.7511833514436,0.283
quantile,1.0,24,0.473,2214.116888968073,0.401
quantile,1.0,25,0.598,1729.3187228433355,0.543
quantile,1.0,26,0.5085,1993.1848094848642,0.471
quantile,1.0,27,0.3555,2535.454884526396,0.175
quantile,1.0,28,0.393,2405.1720131830016,0.293
quantile,1.0,29,0.47,2209.470112788169,0.44
expectile,2.0,0,0.5045,2045.3051341822927,0.504
expectile,2.0,1,0.559,1875.5889492316883,0.554
expectile,2.0,2,0.6125,1454.3574671166457,0.639
expectile,2.0,3,0.716,1102.1566754264863,0.626
expectile,2.0,4,0.711,1110.5234590771697,0.66
expectile,2.0,5,0.581,1626.6682852113304,0.519
expectile,2.0,6,0.6905,1168.4405904073808,0.663
expectile,2.0,7,0.649,1334.791217014948,0.629
expectile,2.0,8,0.5575,1793.9567695328212,0.411
expectile,2.0,9,0.652,1350.338240005247,0.576
expectile,2.0,10,0.591,1745.3663689513544,0.46
expectile,2.0,11,0.527,1738.292401139833,0.409
expectile,2.0,12,0.544,1691.740574396535,0.408
expectile,2.0,13,0.4815,2123.5892060731867,0.433
expectile,2.0,14,0.5525,1756.1405518188494,0.559
expectile,2.0,15,0.6735,1318.6938289659088,0.567
expectile,2.0,16,0.5565,1795.4689298745348,0.653
expectile,2.0,17,0.6175,1546.893293002037,0.643
expectile,2.0,18,0.701,1253.945023514452,0.683
expectile,2.0,19,0.5375,1910.8143110218875,0.509
expectile,2.0,20,0.606,1624.9743093015022,0.67
expectile,2.0,21,0.5885,1688.5258748085234,0.543
expectile,2.0,22,0.64,1376.9057428526357,0.693
expectile,2.0,23,0.5735,1618.6568895092669,0.513
expectile,2.0,24,0.524,1971.8709579129977,0.562
expectile,2.0,25,0.664,1413.5651369699622,0.546
expectile,2.0,26,0.442,2239.0536161245686,0.516
expectile,2.0,27,0.444,2194.926910901849,0.291
expectile,2.0,28,0.569,1696.5744653057877,0.543
expectile,2.0,29,0.6275,1659.3103263421876,0.644
quantile,2.0,0,0.3385,2647.433486332203,0.179
quantile,2.0,1,0.415,2436.467521356556,0.472
quantile,2.0,2,0.4285,2206.101778623696,0.355
quantile,2.0,3,0.461,2045.372404138046,0.422
quantile,2.0,4,0.3725,2520.8648215556254,0.265
quantile,2.0,5,0.3735,2534.6479552572064,0.287
quantile,2.0,6,0.402,2309.828876248709,0.324
quantile,2.0,7,0.427,2291.7528953740057,0.334
quantile,2.0,8,0.3775,2531.504158839495,0.331
quantile,2.0,9,0.4325,2224.9446836305506,0.383
quantile,2.0,10,0.444,2370.253459348934,0.403
quantile,2.0,11,0.4395,2102.0740846693834,0.412
quantile,2.0,12,0.396,2272.844042053625,0.354
quantile,2.0,13,0.388,2434.123641061746,0.377
quantile,2.0,14,0.386,2380.86715726874,0.445
quantile,2.0,15,0.36,2462.6435952127963,0.132
quantile,2.0,16,0.3965,2497.2408482648275,0.482
quantile,2.0,17,0.3215,2654.7706928168764,0.346
quantile,2.0,18,0.467,2114.7173409822326,0.386
quantile,2.0,19,0.292,2867.7253640540143,0.276
quantile,2.0,20,0.363,2655.8310449544842,0.244
quantile,2.0,21,0.3795,2445.957721461469,0.339
quantile,2.0,22,0.3665,2449.787222531654,0.398
quantile,2.0,23,0.3815,2388.0449721042423,0.252
quantile,2.0,24,0.4315,2419.041587677112,0.316
quantile,2.0,25,0.44,2282.2677022851185,0.403
quantile,2.0,26,0.2745,2870.0656848073104,0.282
quantile,2.0,27,0.297,2781.13614702263,0.222
quantile,2.0,28,0.321,2675.870106213798,0.206
quantile,2.0,29,0.499,2118.8882597309885,0.5
